false_gods,true_gods,random_gods,expected_questions,status,independent_replications,notes,version,reproduce_command
1,6,4,12.245833,upper_bound,0,,0.16.21,./hardest -f 1 -t 6 -r 4 -b 2 -i 99 -a 1.000002 -e 1.000001 -S 7 -H 1 -l 1.01 -s 6742056553533048596 -i 0 -u 12.247591999999999 -M 1
2,5,4,13.924281,upper_bound,0,,0.15.5,./hardest -f 2 -t 5 -r 4 -b 1 -B 0:1 -H 1 -S 7 -a 1.02 -e 1.01 -u 13.787 -i 70 -k 10 -l 1.01 -s 2868635322456824170 -i 0
3,4,4,14.618895,upper_bound,0,,0.17.9,./hardest -f 3 -t 4 -r 4 -b 2 -i 199 -a 1.0033 -e 1.00328 -K 1960 -S 8 -z 2.276 -l 1.01 -s 8366399834944695462 -i 0 -u 14.631211999999998 -M 1 -a 1.0032999999999999 -e 1.0032799999999999
0,6,5,10.905836,upper_bound,0,,0.15.5,./hardest -f 0 -t 6 -r 5 -b 1 -B 0:1 -H 1 -S 7 -a 1.02 -e 1.01 -u 10.49 -i 200 -k 11 -B 0:2 -B 1:2 -b 2 -l 1.01 -s 12443524816424922443 -i 0
1,5,5,13.741881,upper_bound,0,,0.17.11,./hardest -f 1 -t 5 -r 5 -b 2 -i 9 -a 1.02 -e 1.01 -K 1960 -S 7 -z -99 -u 13.46 -l 1.01 -s 8581647508762566537 -H 1 -i 0 -l 1.01 -s 8581647508762566537 -i 0 -u 13.460000000000001 -M 1 -a 1.02 -e 1.01
2,4,5,15.170539,upper_bound,0,,0.15.5,./hardest -f 2 -t 4 -r 5 -b 1 -B 0:1 -H 1 -S 7 -a 1.02 -e 1.01 -u 16.46 -i 0 -k 11 -l 1.01 -s 1773556797 -b 2
3,3,5,15.593967,upper_bound,0,,0.17.11,./hardest -f 3 -t 3 -r 5 -b 1 -i 99 -a 1.00516 -e 1.00515 -K 1960 -S 8 -z -99 -U 2 -l 1.01 -s 17935324018643151222 -i 0 -u 15.600162999999998 -M 1 -a 1.0051599999999998 -e 1.00515
0,11,1,3.750000,optimal,0,,,
1,10,1,7.143939,optimal,0,,,
2,9,1,9.531818,optimal,0,,,
3,8,1,11.048990,optimal,0,,,
4,7,1,12.048990,optimal,0,,,
5,6,1,12.605700,optimal,0,,,
0,10,2,6.272727,conjectured,1514,,0.16.21,./hardest -f 0 -t 10 -r 2 -b 8 -i 2999 -a 1.01 -e 1.004 -S 7 -l 1.01 -s 11569129931730998507 -i 0 -u 6.2727270000000006 -M 1
1,9,2,9.660606,upper_bound,15,,0.16.21,./hardest -f 1 -t 9 -r 2 -b 8 -i 999 -a 1.0013 -e 1.0012 -S 7 -H 0 -l 1.01 -s 14822074046493727365 -i 0 -u 9.6606060000000014 -M 1
2,8,2,11.839057,upper_bound,0,,0.17.11,./hardest -f 2 -t 8 -r 2 -b 11 -i 99999 -a 1.0002 -e 1.00019 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 4851935286389739119 -i 0 -u 11.839394 -M 1 -a 1.0002 -e 1.0001899999999999
